Bank,preprocessed_review,Sentiment,main_topic,sub_topic
"BHS, agence Saint-Louis",bon,positive,bon,généralement bon
Bureau de poste Sédhiou,bon,positive,bon,généralement bon
IMCEC SEDHIOU,merci google,positive,service_client,personnel serviable
WAVE Sédhiou,très bon,positive,bon,généralement bon
IMCEC TAMBACOUNDA,très bon,positive,bon,généralement bon
CAURIE-MF Tambacounda,bon,positive,bon,généralement bon
CBEAO,très bon,positive,bon,généralement bon
Agence Diamond Bank Thiès,bitiment très moderne repond normes construction lieux tres spacieux bien aéré,positive,service_client,excellent service client
Banque Islamique du Senegal,très bon,positive,bon,généralement bon
Caisse Nationale de Crédit Agricole du Sénégal,très bon,positive,bon,généralement bon
Credit Mutuel du Senegal caisse de thies centre,bon,positive,bon,généralement bon
BSIC THIÈS,très bon,positive,bon,généralement bon
Nsia Banque,bonne assurance lépoque très bonne banque maintenant,positive,service_client,personnel serviable
Banque de l'habitat du senegal,bon,positive,bon,généralement bon
Banque Islamique Du Sénégal,très bon,positive,bon,généralement bon
Crédit mutuel,bon,positive,bon,généralement bon
IMCEC THIES,très bon,positive,bon,généralement bon
BNDE,bon,positive,bon,généralement bon
Crédit Mutuel du Sénégal,très bon,positive,bon,généralement bon
Cofina,bon,positive,bon,généralement bon
Banque Antlantique,bon,positive,bon,généralement bon
BIS Agence Tivaouane,bon,positive,bon,généralement bon
Acep,très bon,positive,bon,généralement bon
Orabank Touba,très bon,positive,bon,généralement bon
Bureau Askia Touba,bon,positive,bon,généralement bon
Banque Islamique De Senegal,très bon,positive,bon,généralement bon
CORIS BANK BARAKA Touba,très bon,positive,bon,généralement bon
Agence Ecobank Touba,très bon,positive,bon,généralement bon
United Bank Of Africa,très bon,positive,bon,généralement bon
B.ATLANTIQUE,très bon,positive,bon,généralement bon
Cbao,lieu travaille,positive,bon,généralement bon
Touba khaira,très bon,positive,bon,généralement bon
Banque Atlantique,très bon,positive,bon,généralement bon
Bsic,très bon,positive,bon,généralement bon
T.Q.G.,très bon,positive,bon,généralement bon
TOUBA TRANSFERT MULTI SERVICES,très bon,positive,bon,généralement bon
LA BANQUE AGRICOLE (LBA),neutre,neutral,neutre,généralement neutre
Banque islamique du Sénégal(BIS),neutre,neutral,neutre,généralement neutre
SGBS DIOURBEL,neutre,neutral,neutre,généralement neutre
BOA Agence Guediawaye,neutre,neutral,neutre,généralement neutre
Western Union,personnel courtois parfois récupérer grosses deviennent vite problème,neutral,gestion des comptes,gestion des comptes moyenne
FEMUNI,banque microfinance,neutral,service client,service client standard
BHS banque de l'habitat du Sénégal,neutre,neutral,neutre,généralement neutre
BHS banque de l'habitat du Sénégal,neutre,neutral,neutre,généralement neutre
La Banque Agricole,neutre,neutral,neutre,généralement neutre
Ecobabk,neutre,neutral,neutre,généralement neutre
Agence CBAO,neutre,neutral,neutre,généralement neutre
CMS Kedougou,cest lieu retrait dépôt largent,neutral,produits financiers,produits standards
CBAO LOUGA,neutre,neutral,neutre,généralement neutre
Pamecas Mbacké,neutre,neutral,neutre,généralement neutre
Bureau De Change Fall Et Freres Boulevard Serigne Salou Mbacké,pouvez changer argent toute tranquillité merci,neutral,gestion des comptes,gestion des comptes moyenne
CNCA Mbour,neutre,neutral,neutre,généralement neutre
Bureau de Change,neutre,neutral,neutre,généralement neutre
Bureau de Change,neutre,neutral,neutre,généralement neutre
BNDE,neutre,neutral,neutre,généralement neutre
BNDE,neutre,neutral,neutre,généralement neutre
Crédit mutuel du Sénégal,accueil sympa travail professionnel très fréquentée mutuelle gagnerait a trouver solution queues fin mois car fait chaud nya hangar dehors,neutral,produits financiers,produits standards
BOA Agence Rufisque,neutre,neutral,neutre,généralement neutre
CBAO AGENCE RUFISQUE OUEST,neutre,neutral,neutre,généralement neutre
BHS RUFISQUE,neutre,neutral,neutre,généralement neutre
Cms Crédit Mutuel du Sénégal,cms trouve près boulangerie capa juste face pont lieu assez fréquenté dépôts retraits dargent,neutral,neutre,généralement neutre
Crédit International,entreprise secteur bancaire très accessible,neutral,service client,temps d'attente modéré
CBAO,neutre,neutral,neutre,généralement neutre
CBAO,neutre,neutral,neutre,généralement neutre
Ecobank Saint-Louis,bon accueil,neutral,gestion des comptes,gestion des comptes moyenne
ACEP Agence Saint-Louis,personnel l’écoute disponible,neutral,service client,service client standard
CNCAS Agence de Tambacounda,neutre,neutral,neutre,généralement neutre
CNCAS Agence de Tambacounda,neutre,neutral,neutre,généralement neutre
Société Générale Sénégal,neutre,neutral,neutre,généralement neutre
BICIS Bank,neutre,neutral,neutre,généralement neutre
CBAO,neutre,neutral,neutre,généralement neutre
ECOBANK,neutre,neutral,neutre,généralement neutre
BOA Agence Thies Carrière,neutre,neutral,neutre,généralement neutre
Microcred Thies,neutre,neutral,neutre,généralement neutre
Credit Mutuel du Senegal,neutre,neutral,neutre,généralement neutre
Microcred Touba,neutre,neutral,neutre,généralement neutre
CBAO Bignona,mauvais,negative,gestion des comptes,difficulté dans la gestion des comptes
Banque Atlantique du Sénégal,mauvais,negative,gestion des comptes,difficulté dans la gestion des comptes
NSIA Banque - agence,très mauvais,negative,service client,service client médiocre
Banque Islamique du Sénégal,mauvais,negative,gestion des comptes,difficulté dans la gestion des comptes
Credit Du Sénégal,très mauvais,negative,service client,service client médiocre
CBAO Diourbel,très mauvais,negative,service client,service client médiocre
Ecobank,très mauvais,negative,service client,service client médiocre
Crédit Mutuel Du Sénégal,mauvais,negative,gestion des comptes,difficulté dans la gestion des comptes
SGBS - Western Union,très mauvais,negative,service client,service client médiocre
SGBS - Agence Ndiarème,mauvais,negative,gestion des comptes,difficulté dans la gestion des comptes
Crédit agricole CBAO,très mauvais,negative,service client,service client médiocre
Crédit Mutuelle du Sénégal (CMS),très mauvais,negative,service client,service client médiocre
Lycée Banque Islamique,mauvais,negative,gestion des comptes,difficulté dans la gestion des comptes
Baro Multiservices,très mauvais,negative,service client,service client médiocre
Baro Multiservices,très mauvais,negative,service client,service client médiocre
BOA Agence Kaolack,mauvais,negative,gestion des comptes,difficulté dans la gestion des comptes
Boutique Orange,très mauvais,negative,service client,service client médiocre
Banque agricole (LBA),très mauvais,negative,service client,service client médiocre
Ecobank,très mauvais,negative,service client,service client médiocre
Ecobank,très mauvais,negative,service client,service client médiocre
La Poste Mbacke,très mauvais,negative,service client,service client médiocre
Microcred,mauvais,negative,gestion des comptes,difficulté dans la gestion des comptes
SGBS TOUBA,mauvais,negative,gestion des comptes,difficulté dans la gestion des comptes
SGBS,mauvais,negative,gestion des comptes,difficulté dans la gestion des comptes
SGBS,mauvais,negative,gestion des comptes,difficulté dans la gestion des comptes
CBAO,très mauvais,negative,service client,service client médiocre
Orabank,très mauvais,negative,service client,service client médiocre
SGBS Pikine,mauvais,negative,gestion des comptes,difficulté dans la gestion des comptes
BOA Agence Pikine satellite,mauvais,negative,gestion des comptes,difficulté dans la gestion des comptes
Crédit agricole CBAO,très mauvais,negative,service client,service client médiocre
Emard Global Service,nsp,negative,service client,service client médiocre
Mutuelle d'Epargne et de Credit,très mauvais,negative,service client,service client médiocre
Crédit MUTUEL DU SÉNÉGAL DE DIAMNIADIO,très mauvais,negative,service client,service client médiocre
SGBS,très mauvais,negative,service client,service client médiocre
SGBS,très mauvais,negative,service client,service client médiocre
PAMECAS Saint-Louis,très mauvais,negative,service client,service client médiocre
CMS,crédit mutuel sénégal agence saintlouis sor donne 2 étoiles parce service lent très lent fil dattente …,negative,service client,service client médiocre
CNCA Sédhiou,très mauvais,negative,service client,service client médiocre
BOA Agence Tambacounda,très mauvais,negative,service client,service client médiocre
SGBS Bank,très mauvais,negative,service client,service client médiocre
ACEP Agence régionale de Thiés,mauvais,negative,gestion des comptes,difficulté dans la gestion des comptes
( Caisse Nationale de Crédit Agricole) Agence Tivaouane,mauvais,negative,gestion des comptes,difficulté dans la gestion des comptes
CBAO,très mauvais,negative,service client,service client médiocre
SGBS,très mauvais,negative,service client,service client médiocre
Multiservices,bien,negative,produits financiers,produits de qualité inférieure
Bhs Agence De Touba,très mauvais,negative,service client,service client médiocre
SGBS TOUBA,mauvais,negative,gestion des comptes,difficulté dans la gestion des comptes
BICIS Touba,très mauvais,negative,service client,service client médiocre
Microcred,mauvais,negative,gestion des comptes,difficulté dans la gestion des comptes
