Country,Town,Bank_Name,Bank_Phone_number,Bank_Address,Bank_Website,Reviewer_Nane,Reviewer_Sart,Reviewer_Text,Reviewer_Publish_Date,Reviewer_Like_Reaction,Reviewer_Profil_Link,Reviewer_Owner_Reply,Reviewer_Owner_Reply_Date
Kenya,Lamu,"Equity Bank, Lamu Branch",Not available,"PWJ2+WX8, Lamu, Kenya",Not available,DUDU VILLAS & COTTAGES,5,NAN,il y a 5 ans,0,https://www.google.com/maps/contrib/104315765074012717376/reviews?hl=fr,,NAN
Kenya,Meru,"Barclays Bank Meru,",+254 64 30187,"2MX4+3CQ, Meru, Kenya",Not available,David Kiria,3,NAN,il y a 7 ans,0,https://www.google.com/maps/contrib/117242629774514459302/reviews?hl=fr,,NAN
Kenya,Nakuru,Standard Chartered Bank Nakuru,+254 20 3293900,"59 Kenyatta Ave, Nakuru, Kenya",standardchartered.com,Angeline Kahiga,1,NAN,il y a 3 ans,0,https://www.google.com/maps/contrib/100603418230130471124/reviews?hl=fr,,NAN
Kenya,Bungoma,Bank Of Africa Bungoma Branch,+254 20 3275000,"New Nyanza Hardware, Moi Avenue, Bungoma, Kenya",Not available,Mildred Wekesa,3,NAN,il y a 8 ans,0,https://www.google.com/maps/contrib/107337552913803778856/reviews?hl=fr,,NAN
Kenya,Eldoret,Standard Chartered Bank Eldoret Branch,+254 53 2063825,"Kenyatta Street, Kenyatta Ave, Eldoret, Kenya",standardchartered.com,naphtally githinji,5,NAN,il y a 7 ans,0,https://www.google.com/maps/contrib/117797783145673335645/reviews?hl=fr,,NAN
Kenya,Webuye,KCB Bank Webuye Branch,Not available,"JQ3J+5HP, Webuye, Kenya",Not available,Omari Salim,3,Lieu bancaire sympa,il y a 5 ans,0,https://www.google.com/maps/contrib/105895859165541903254/reviews?hl=fr,,NAN
Kenya,Malindi,First Community Bank-Malindi Branch,+254 41 2002166,"Lamu Road, Malindi Complex, Malindi, Kenya",Not available,munir sumar,3,Première banque communautaire... au complexe Malindi... Lamu Road,il y a 4 ans,0,https://www.google.com/maps/contrib/111705786230698567332/reviews?hl=fr,,NAN
Kenya,Nanyuki,Standard Chartered Bank - Nanyuki Branch,+254 62 2031173,"Laikipia East, Lumumba Rd, Nanyuki, Kenya",standardchartered.com,Tim Kim,4,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/108979375744537973120/reviews?hl=fr,,NAN
Kenya,Nairobi,Bank of Baroda Nairobi Main Branch,+254 20 2220575,"Baroda House, NAIROBI MAIN OFFICE, 29 KOINANGE STREET, Nairobi City, Kenya",bankofbarodakenya.co.ke,Sam RJ,1,NAN,il y a 8 ans,0,https://www.google.com/maps/contrib/107637601443664601712/reviews?hl=fr,,NAN
Kenya,Kisumu,Standard chartered bank kenya ltd-kisumu city,+254 57 2022178,"1st flr ,Tuffoam Mall, Kisumu,Market, Kisumu, Kenya",sc.com,Qairos Travel,5,NAN,il y a 3 ans,0,https://www.google.com/maps/contrib/115364870429913096156/reviews?hl=fr,,NAN
Kenya,Mumias,KCB MUMIAS,+254 736 327541,"KCB Mumias Building Mumias Musanda, Rd, Mumias, Kenya",Not available,Reagan Palmer,5,NAN,il y a 5 ans,0,https://www.google.com/maps/contrib/105241027090257352210/reviews?hl=fr,,NAN
Bénin,Ouidah,UBA Agence Ouidah,Not available,"935P+CV9, Rue van Vollenhoven, Ouidah, Bénin",Not available,Isabelle YEHOUENOU,2,NAN,il y a 3 ans,0,https://www.google.com/maps/contrib/108435614530477887355/reviews?hl=fr,,NAN
Bénin,Ouidah,UBA Agence Ouidah,Not available,"935P+CV9, Rue van Vollenhoven, Ouidah, Bénin",Not available,Isabelle YEHOUENOU,2,NAN,il y a 3 ans,0,https://www.google.com/maps/contrib/108435614530477887355/reviews?hl=fr,,NAN
Bénin,Ouidah,BUREAU DE POSTE DE OUIDAH,+229 61 33 28 44,"Ouidah, Bénin",laposte.bj,Maria 12 Kangni,1,Cette poste est bon et adorable,il y a 8 mois,0,https://www.google.com/maps/contrib/108261342480601284118/reviews?hl=fr,,NAN
Bénin,Ouidah,Ecobank Godomey Ouidah,+229 21 35 45 89,"RNIE1, Godomey, Bénin",ecobank.com,Kevin ABLOU,5,NAN,il y a 3 ans,0,https://www.google.com/maps/contrib/115831774595712045871/reviews?hl=fr,,NAN
Bénin,Ouidah,Ecobank Godomey Ouidah,+229 21 35 45 89,"RNIE1, Godomey, Bénin",ecobank.com,Kevin ABLOU,5,NAN,il y a 3 ans,0,https://www.google.com/maps/contrib/115831774595712045871/reviews?hl=fr,,NAN
Bénin,Cové,CLCAM/COVE,+229 22 50 08 38,"68CQ+8VQ, RNIE4, Cove, Bénin",Not available,Perpetue Adjahossou,5,NAN,il y a 5 ans,0,https://www.google.com/maps/contrib/109168907409135852762/reviews?hl=fr,,NAN
Bénin,Cové,CCEI Bank Agence Ganhi,+229 21 36 59 10,"9C3Q+M6F, Cotonou, Bénin",cceibankbenin.com,julien houangni,5,NAN,il y a 4 ans,0,https://www.google.com/maps/contrib/105819122026079790411/reviews?hl=fr,,NAN
Bénin,Cové,CCEI Bank,+229 21 36 59 10,"Marché Ganhi, Rue 2650, Cotonou, Bénin",cceibankbenin.com,Lukman Abiodun Oduntan,5,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/107009849017543621698/reviews?hl=fr,,NAN
Bénin,Cové,CBAO Saint Michel,+229 21 36 59 02,"9C7G+PC5, Boulevard Saint Michel, Cotonou, Bénin",Not available,Boris Hounkpatin,1,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/107130408256314206762/reviews?hl=fr,,NAN
Bénin,Cové,Ecobank Bénin,+229 21 31 40 23,"Rue 232, Cotonou, Bénin",ecobank.com,patrick yadjemi,3,NAN,il y a 9 ans,0,https://www.google.com/maps/contrib/112943603722096541763/reviews?hl=fr,,NAN
Bénin,Cové,Banque Internationale pour l'Industrie et le Commerce,+229 21 31 22 00,"Boulevard Saint Michel, Cotonou, Bénin",biic-bank.com,Herman Hedokingbe,5,NAN,il y a 7 ans,0,https://www.google.com/maps/contrib/115309133299711002708/reviews?hl=fr,,NAN
Bénin,Cové,BOA BENIN (Bank Of Africa) - Agence Centrale,+229 21 31 32 28,"9C2J+RRC Benin city, Ave Jean-Paul II, Cotonou, Bénin",bank-of-africa.net,Gylnex SOTCHENOU,5,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/115162508530295794961/reviews?hl=fr,,NAN
Bénin,Cové,Société Générale Bénin,+229 21 31 83 00,"Ave Clozel, Cotonou, Bénin",societegenerale.bj,Clément LABINTAN,3,NAN,il y a 8 ans,0,https://www.google.com/maps/contrib/110030064409354194448/reviews?hl=fr,,NAN
Bénin,Natitingou,Ecobank Natitingou,+229 23 82 02 34,"la Gare Routière, RNIE3, A côté de, Natitinqou, Bénin",ecobank.com,Youssoufou traore,4,excellent,il y a un an,0,https://www.google.com/maps/contrib/112874544210455099579/reviews?hl=fr,,NAN
Bénin,Natitingou,Ecobank Natitingou,+229 23 82 02 34,"la Gare Routière, RNIE3, A côté de, Natitinqou, Bénin",ecobank.com,Youssoufou traore,4,excellent,il y a un an,0,https://www.google.com/maps/contrib/112874544210455099579/reviews?hl=fr,,NAN
Bénin,Natitingou,CNSS Natitingou,Not available,"895H+4V2, Natitinqou, Bénin",Not available,Gildas Sotire,4,⭐⭐⭐⭐,il y a 3 ans,1,https://www.google.com/maps/contrib/111072178179531998259/reviews?hl=fr,,NAN
Bénin,Natitingou,BUREAU DE POSTE NATITINGOU,+229 96 19 15 44,"Natitinqou, Bénin",laposte.bj,Alaza Azi,5,NAN,il y a 5 mois,0,https://www.google.com/maps/contrib/109255603661456896316/reviews?hl=fr,,NAN
Bénin,Porto-Novo,Diamond Bank Agence Porto Novo,+229 21 31 98 02,"Porto Novo, Quartier Avakpa, Arrond. De Djassin, 01 BP 955, Porto-Novo 10000, Bénin",Not available,Rach Belle,3,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/114428890542695359390/reviews?hl=fr,,NAN
Bénin,Porto-Novo,Ecobank Porto-Novo,+229 20 21 50 03,"Porto-Novo, Bénin",ecobank.com,Asaï Obed TCHABI,4,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/112926972292016619664/reviews?hl=fr,,NAN
Bénin,Porto-Novo,Ecobank Porto-Novo,+229 20 21 50 03,"Porto-Novo, Bénin",ecobank.com,Asaï Obed TCHABI,4,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/112926972292016619664/reviews?hl=fr,,NAN
Bénin,Porto-Novo,BANK OF AFRICA,+229 21 31 32 28,"1er Arrondissement, Bénin",Not available,Adossou Carmel Koffi Rodolphe,5,NAN,il y a un an,0,https://www.google.com/maps/contrib/108667851936158203104/reviews?hl=fr,,NAN
Bénin,Porto-Novo,Western Union,Not available,"FJWH+PGX, Porto-Novo, Bénin",Not available,༒GHOST FRIENDS ༒ ༒FAMILIA BIGO LIVE༒,1,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/101348618831265999378/reviews?hl=fr,,NAN
Bénin,Porto-Novo,AFRICABOURSE PORTONOVO,+229 63 60 74 66,"FJHM+X6R, Intersection Lycée Toffa 1er 2, Porto-Novo, Bénin",africabourse.com,Nella Elielle,1,NAN,il y a 4 mois,0,https://www.google.com/maps/contrib/110005808341748187511/reviews?hl=fr,,NAN
Bénin,Porto-Novo,OraBank,+229 20 22 22 66,"FJMC+W67, Porto-Novo, Bénin",orabank.net,Ange RAVELOARINJATO,4,NAN,il y a 2 ans,0,https://www.google.com/maps/contrib/112995852450468890041/reviews?hl=fr,,NAN
Bénin,Porto-Novo,Diamond Bank Avakpa,Not available,"FJJ6+R9H, Porto-Novo, Bénin",Not available,Cadnel Agondanou,5,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/111480752524238036933/reviews?hl=fr,,NAN
Bénin,Porto-Novo,Diamond Bank Avakpa,Not available,"FJJ6+R9H, Porto-Novo, Bénin",Not available,Cadnel Agondanou,5,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/111480752524238036933/reviews?hl=fr,,NAN
Bénin,Porto-Novo,PADME AGENCE PORTO-NOVO,+229 20 21 34 95,"FJGC+J5H 3ème Arrondissement, Porto-Novo, Bénin",Not available,Ronald Fandohan,5,NAN,il y a 5 ans,0,https://www.google.com/maps/contrib/108858600835576435162/reviews?hl=fr,,NAN
Bénin,Porto-Novo,IAMD-Microfinance,+33 7 56 88 93 03,"GJC5+FGF Residences les palmiers, Porto-Novo, Bénin",Not available,Zêdêm Free,5,NAN,il y a 2 ans,0,https://www.google.com/maps/contrib/109934912902957796304/reviews?hl=fr,,NAN
Bénin,Porto-Novo,ATLANTIQUE BANQUE,+229 62 40 40 19,"994J+Q28, Rue 2100, Cotonou, Bénin",Not available,Harvey AZANHOUE,5,NAN,il y a 2 ans,0,https://www.google.com/maps/contrib/104592052808097044286/reviews?hl=fr,,NAN
Bénin,Porto-Novo,ATLANTIQUE BANQUE,+229 62 40 40 19,"994J+Q28, Rue 2100, Cotonou, Bénin",Not available,Harvey AZANHOUE,5,NAN,il y a 2 ans,0,https://www.google.com/maps/contrib/104592052808097044286/reviews?hl=fr,,NAN
Bénin,Porto-Novo,Banque Atlantique Agence Ganhi,+229 21 31 10 18,"9C3P+GM2, Rue de la Poste, Cotonou, Bénin",banqueatlantique.net,Tatiana Samson,1,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/103720179264727720119/reviews?hl=fr,,NAN
Bénin,Porto-Novo,Banque Atlantique Agence Ganhi,+229 21 31 10 18,"9C3P+GM2, Rue de la Poste, Cotonou, Bénin",banqueatlantique.net,Tatiana Samson,1,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/103720179264727720119/reviews?hl=fr,,NAN
Bénin,Bembèrèkè,CLCAM Bembereke,+229 66 39 15 92,"6MF7+847, Bembéréké, Bénin",Not available,Toussaint FAGNON,4,NAN,il y a un an,0,https://www.google.com/maps/contrib/108106463415317610899/reviews?hl=fr,,NAN
Bénin,Bembèrèkè,Idc Service,+229 96 65 46 94,"6MF7+9PF, Bembéréké, Bénin",Not available,Sebastien DADA,3,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/106795126620693832330/reviews?hl=fr,,NAN
Bénin,Bembèrèkè,CCEI Bank Agence Ganhi,+229 21 36 59 10,"9C3Q+M6F, Cotonou, Bénin",cceibankbenin.com,julien houangni,5,NAN,il y a 4 ans,0,https://www.google.com/maps/contrib/105819122026079790411/reviews?hl=fr,,NAN
Bénin,Bembèrèkè,CCEI Bank Agence Ganhi,+229 21 36 59 10,"9C3Q+M6F, Cotonou, Bénin",cceibankbenin.com,julien houangni,5,NAN,il y a 4 ans,0,https://www.google.com/maps/contrib/105819122026079790411/reviews?hl=fr,,NAN
Bénin,Bembèrèkè,Ecobank Bénin,+229 21 31 40 23,"Rue 232, Cotonou, Bénin",ecobank.com,patrick yadjemi,3,NAN,il y a 9 ans,0,https://www.google.com/maps/contrib/112943603722096541763/reviews?hl=fr,,NAN
Bénin,Bembèrèkè,Société Générale Bénin,+229 21 31 83 00,"Ave Clozel, Cotonou, Bénin",societegenerale.bj,Clément LABINTAN,3,NAN,il y a 8 ans,0,https://www.google.com/maps/contrib/110030064409354194448/reviews?hl=fr,,NAN
Bénin,Bembèrèkè,UBA Cocotiers,+229 21 31 24 24,"993X+FGP, Rte De L'Aéroport, Cotonou, Bénin",ubagroup.com,Ibrahim Afridi,4,NAN,il y a 9 ans,0,https://www.google.com/maps/contrib/114912702593635375161/reviews?hl=fr,,NAN
Bénin,Bembèrèkè,Sonibank Agence Ganhi,+229 21 31 21 89,"Centre Kodeih Nº9, Rue du Gouverneur Bayol, Cotonou, Bénin",Not available,Isabelle queen,5,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/107977443767827842373/reviews?hl=fr,,NAN
Bénin,Bembèrèkè,Banque Atlantique Agence Ganhi,+229 21 31 10 18,"9C3P+GM2, Rue de la Poste, Cotonou, Bénin",banqueatlantique.net,Tatiana Samson,1,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/103720179264727720119/reviews?hl=fr,,NAN
Bénin,Bembèrèkè,Banque Atlantique Agence Parakou,Not available,"Cinema, Rte de Transa, Parakou, Bénin",Not available,Thierry Tobossi,5,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/106242779399685873165/reviews?hl=fr,,NAN
Bénin,Bembèrèkè,Banque Internationale pour l'Industrie et le Commerce,+229 21 31 22 00,"Boulevard Saint Michel, Cotonou, Bénin",biic-bank.com,Herman Hedokingbe,5,NAN,il y a 7 ans,0,https://www.google.com/maps/contrib/115309133299711002708/reviews?hl=fr,,NAN
Bénin,Bembèrèkè,BCEAO,+229 21 36 46 00,"9C3G+6JV, Cotonou, Bénin",Not available,Conrad GLONOU,5,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/101172451881330539259/reviews?hl=fr,,NAN
Bénin,Djougou,Ecobank Agence Djougou,+229 23 80 17 30,"RNIE6, Immeuble COOP, Djougou, Bénin",ecobank.com,Hamdane Yirou,4,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/112715081506703450979/reviews?hl=fr,,NAN
Bénin,Djougou,CLCAM AGENCE DJOUGOU,Not available,"PM74+PR6, Djougou, Bénin",Not available,Victor Nounagnon,4,NAN,il y a 7 mois,0,https://www.google.com/maps/contrib/117765726211888898001/reviews?hl=fr,,NAN
Bénin,Djougou,Banque Ouest Africaine,Not available,"PM3C+M67, Djougou, Bénin",Not available,Nouroudine DONDJA,4,NAN,il y a 5 ans,0,https://www.google.com/maps/contrib/102082092270017259015/reviews?hl=fr,,NAN
Bénin,Djougou,AGENCE DE LA POSTE DE DJOUGOU,+229 61 33 28 67,"PM59+778, Djougou, Bénin",Not available,Ibrahim Abassi,4,Service acceptable,il y a 5 mois,0,https://www.google.com/maps/contrib/113211395139199224168/reviews?hl=fr,,NAN
Bénin,Djougou,AGENCE DE LA POSTE DE DJOUGOU,+229 61 33 28 67,"PM59+778, Djougou, Bénin",Not available,Ibrahim Abassi,4,Service acceptable,il y a 5 mois,0,https://www.google.com/maps/contrib/113211395139199224168/reviews?hl=fr,,NAN
Bénin,Malanville,Ecobank Agence Malanville,+229 23 67 02 33,"RNIE2, Quartier Tassi Tèdji Face Auto Gare, Malanville, Bénin",ecobank.com,Agbatchi Gustave DOSSOUMOU,4,NAN,il y a 3 ans,0,https://www.google.com/maps/contrib/109714762247329541591/reviews?hl=fr,,NAN
Bénin,Malanville,Ecobank Agence Malanville,+229 23 67 02 33,"RNIE2, Quartier Tassi Tèdji Face Auto Gare, Malanville, Bénin",ecobank.com,Agbatchi Gustave DOSSOUMOU,4,NAN,il y a 3 ans,0,https://www.google.com/maps/contrib/109714762247329541591/reviews?hl=fr,,NAN
Bénin,Malanville,Ecobank Agence Malanville,+229 23 67 02 33,"RNIE2, Quartier Tassi Tèdji Face Auto Gare, Malanville, Bénin",ecobank.com,Agbatchi Gustave DOSSOUMOU,4,NAN,il y a 3 ans,0,https://www.google.com/maps/contrib/109714762247329541591/reviews?hl=fr,,NAN
Bénin,Kandi,Bank of Africa Agence Kandi,Not available,"4WJJ+2VQ, Kandi, Bénin",Not available,Sanda Oumarou,5,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/108481311767808691267/reviews?hl=fr,,NAN
Bénin,Kandi,Bank of Africa Agence Kandi,Not available,"4WJJ+2VQ, Kandi, Bénin",Not available,Sanda Oumarou,5,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/108481311767808691267/reviews?hl=fr,,NAN
Bénin,Kandi,ORABANK KANDI,+229 21 31 31 00,"01BP2700, Cotonou, Bénin",Not available,philo zuo,1,pas de banque,il y a un an,0,https://www.google.com/maps/contrib/107231230655257032456/reviews?hl=fr,,NAN
Bénin,Kandi,ORABANK KANDI,+229 21 31 31 00,"01BP2700, Cotonou, Bénin",Not available,philo zuo,1,pas de banque,il y a un an,0,https://www.google.com/maps/contrib/107231230655257032456/reviews?hl=fr,,NAN
Bénin,Bassila,Nsia Banque Bénin,+229 21 31 96 00,+229 21 31 96 00,Not available,Joiris REYNAUD,5,NAN,il y a 5 ans,0,https://www.google.com/maps/contrib/117792265941438030659/reviews?hl=fr,,NAN
Bénin,Bassila,Nsia Banque Bénin,+229 21 31 96 00,+229 21 31 96 00,Not available,Joiris REYNAUD,5,NAN,il y a 5 ans,0,https://www.google.com/maps/contrib/117792265941438030659/reviews?hl=fr,,NAN
Bénin,Bassila,Mairie Bassila,+229 97 02 77 50,"BP 07, Bassila, Bénin",Not available,Abdou fatai Adam,5,NAN,il y a un an,0,https://www.google.com/maps/contrib/100202316363376835119/reviews?hl=fr,,NAN
Bénin,Bassila,Parc de Bassila (Mairie),Not available,"2M47+HH3, Bassila, Bénin",Not available,OLUDARE OPALEYE,4,NAN,il y a 2 ans,0,https://www.google.com/maps/contrib/113949960478419482442/reviews?hl=fr,,NAN
Bénin,Bassila,Banque Atlantique Agence Ganhi,+229 21 31 10 18,"9C3P+GM2, Rue de la Poste, Cotonou, Bénin",banqueatlantique.net,Tatiana Samson,1,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/103720179264727720119/reviews?hl=fr,,NAN
Bénin,Bassila,Banque Internationale pour l'Industrie et le Commerce,+229 21 31 22 00,"Boulevard Saint Michel, Cotonou, Bénin",biic-bank.com,Herman Hedokingbe,5,NAN,il y a 7 ans,0,https://www.google.com/maps/contrib/115309133299711002708/reviews?hl=fr,,NAN
Bénin,Bassila,Banque Internationale pour l'Industrie et le Commerce,+229 21 31 22 00,"Boulevard Saint Michel, Cotonou, Bénin",biic-bank.com,Herman Hedokingbe,5,NAN,il y a 7 ans,0,https://www.google.com/maps/contrib/115309133299711002708/reviews?hl=fr,,NAN
Bénin,Bassila,Banque Atlantique Agence Parakou,Not available,"Cinema, Rte de Transa, Parakou, Bénin",Not available,Thierry Tobossi,5,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/106242779399685873165/reviews?hl=fr,,NAN
Bénin,Bassila,UBA Cocotiers,+229 21 31 24 24,"993X+FGP, Rte De L'Aéroport, Cotonou, Bénin",ubagroup.com,Ibrahim Afridi,4,NAN,il y a 9 ans,0,https://www.google.com/maps/contrib/114912702593635375161/reviews?hl=fr,,NAN
Bénin,Bassila,BOA: Agence Les cocotiers,+229 21 30 10 01,"993X+F6M, Cotonou, Bénin",Not available,Kolawole Alidou TADDE,1,NAN,il y a 5 ans,0,https://www.google.com/maps/contrib/104469217193584824002/reviews?hl=fr,,NAN
Bénin,Bassila,CBAO Saint Michel,+229 21 36 59 02,"9C7G+PC5, Boulevard Saint Michel, Cotonou, Bénin",Not available,Boris Hounkpatin,1,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/107130408256314206762/reviews?hl=fr,,NAN
Bénin,Bassila,BOA agence du stade de l’Amitié,Not available,"99MG+HPH, Cotonou, Bénin",Not available,Mutong Weng,3,Il n'y a pas de toilettes publiques🚽 ! …,il y a 5 ans,1,https://www.google.com/maps/contrib/103596542303468400890/reviews?hl=fr,,NAN
Bénin,Bassila,BOA Agence Akpakpa,Not available,"9C6W+H6C, Cotonou, Bénin",Not available,ong sahel,5,NAN,il y a 3 ans,0,https://www.google.com/maps/contrib/115931652522792074705/reviews?hl=fr,,NAN
Bénin,Bassila,BOA GANHI,Not available,"9C4Q+3QR, Cotonou, Bénin",Not available,kéfilath Bello,3,NAN,il y a 9 mois,0,https://www.google.com/maps/contrib/105637918375330015993/reviews?hl=fr,,NAN
Bénin,Bassila,BOA BENIN (Bank Of Africa) - Agence Centrale,+229 21 31 32 28,"9C2J+RRC Benin city, Ave Jean-Paul II, Cotonou, Bénin",bank-of-africa.net,Gylnex SOTCHENOU,5,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/115162508530295794961/reviews?hl=fr,,NAN
Bénin,Bassila,Distributeurs Bank Of Africa Benin,+229 21 31 32 28,"9C2J+PQ4 Banque Cotonou, Ave Jean-Paul II, Cotonou, Bénin",boabenin.com,Tahirou moussa,3,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/109460622052640858073/reviews?hl=fr,,NAN
Bénin,Bassila,Agence BOA MENONTIN,+229 21 36 51 26,"99Q7+FPR, Cotonou, Bénin",Not available,Gérardo HOUNTON,2,NAN,il y a 10 mois,0,https://www.google.com/maps/contrib/106081888862602380970/reviews?hl=fr,,NAN
Bénin,Bassila,Ecobank Bénin,+229 21 31 40 23,"Rue 232, Cotonou, Bénin",ecobank.com,patrick yadjemi,3,NAN,il y a 9 ans,0,https://www.google.com/maps/contrib/112943603722096541763/reviews?hl=fr,,NAN
Bénin,Cotonou,Banque Atlantique Agence Ganhi,+229 21 31 10 18,"9C3P+GM2, Rue de la Poste, Cotonou, Bénin",banqueatlantique.net,Tatiana Samson,1,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/103720179264727720119/reviews?hl=fr,,NAN
Bénin,Cotonou,Sonibank Agence Ganhi,+229 21 31 21 89,"Centre Kodeih Nº9, Rue du Gouverneur Bayol, Cotonou, Bénin",Not available,Isabelle queen,5,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/107977443767827842373/reviews?hl=fr,,NAN
Bénin,Cotonou,Société Générale Bénin,+229 21 31 83 00,"Ave Clozel, Cotonou, Bénin",societegenerale.bj,Clément LABINTAN,3,NAN,il y a 8 ans,0,https://www.google.com/maps/contrib/110030064409354194448/reviews?hl=fr,,NAN
Bénin,Cotonou,ATLANTIQUE BANQUE,+229 62 40 40 19,"994J+Q28, Rue 2100, Cotonou, Bénin",Not available,Harvey AZANHOUE,5,NAN,il y a 2 ans,0,https://www.google.com/maps/contrib/104592052808097044286/reviews?hl=fr,,NAN
Bénin,Cotonou,Banque Internationale pour l'Industrie et le Commerce,+229 21 31 22 00,"Boulevard Saint Michel, Cotonou, Bénin",biic-bank.com,Herman Hedokingbe,5,NAN,il y a 7 ans,0,https://www.google.com/maps/contrib/115309133299711002708/reviews?hl=fr,,NAN
Bénin,Cotonou,Banque Atlantique,Not available,"9CJ6+FPQ, Cotonou, Bénin",Not available,Hamed Azagba (ham94),4,NAN,il y a 7 ans,0,https://www.google.com/maps/contrib/101852539079640866157/reviews?hl=fr,,NAN
Bénin,Cotonou,UBA Cocotiers,+229 21 31 24 24,"993X+FGP, Rte De L'Aéroport, Cotonou, Bénin",ubagroup.com,Ibrahim Afridi,4,NAN,il y a 9 ans,0,https://www.google.com/maps/contrib/114912702593635375161/reviews?hl=fr,,NAN
Bénin,Cotonou,BOA BENIN (Bank Of Africa) - Agence Centrale,+229 21 31 32 28,"9C2J+RRC Benin city, Ave Jean-Paul II, Cotonou, Bénin",bank-of-africa.net,Gylnex SOTCHENOU,5,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/115162508530295794961/reviews?hl=fr,,NAN
